time,Iu,Iv,Iw,Id,Iq,Angle,Speed,Vd,Vq,EncMech
815652,-0.008,0.005,-0.025,0.019,-0.005,0.364,102.21,-0.15,0.103,
815652,-0.02,-0.005,-0.048,0.031,-0.003,0.374,102.21,-0.153,0.101,
815652,0.014,0.005,-0.014,-0.003,-0.018,0.384,102.21,-0.145,0.103,
815652,0.025,0.017,-0.037,-0.001,-0.04,0.394,102.21,-0.146,0.107,
815652,0.025,-0.005,-0.002,-0.022,-0.013,0.405,102.21,-0.142,0.101,0.115
815652,-0.008,0.028,-0.06,0.033,-0.04,0.415,102.21,-0.153,0.106,
815652,0.025,0.017,-0.002,-0.017,-0.022,0.425,102.21,-0.143,0.101,
815652,0.014,0.017,-0.048,0.001,-0.04,0.435,102.21,-0.147,0.104,
815652,0.014,-0.005,-0.014,-0.011,-0.009,0.446,102.21,-0.144,0.097,
815652,-0.008,-0.017,-0.083,0.016,-0.035,0.467,103,-0.15,0.102,
815652,-0.008,0.017,-0.037,0.013,-0.03,0.477,103,-0.149,0.1,
815652,0.014,0.017,-0.037,-0.011,-0.032,0.487,103,-0.144,0.1,
815652,0.037,-0.017,-0.037,-0.037,-0.012,0.498,103,-0.139,0.095,
815652,0.002,0.028,-0.037,-0.004,-0.038,0.508,103,-0.145,0.099,
815652,0.002,0.028,-0.06,-0.008,-0.05,0.518,103,-0.144,0.101,0.143
815652,0.002,0.028,-0.037,-0.009,-0.037,0.528,103,-0.144,0.098,
815652,0.014,0.005,-0.06,-0.023,-0.033,0.539,103,-0.141,0.097,
815652,-0.008,-0.005,-0.025,0.004,-0.013,0.549,103,-0.147,0.092,
815652,0.002,0.04,-0.06,-0.024,-0.053,0.559,103,-0.141,0.099,
815652,0.014,0.051,-0.037,-0.033,-0.041,0.566,100.75,-0.139,0.096,
815652,0.014,0.04,-0.037,-0.033,-0.033,0.576,100.75,-0.139,0.094,
815652,-0.02,0.017,-0.014,0.007,-0.026,0.586,100.75,-0.147,0.092,
815652,-0.031,0.028,-0.037,0.004,-0.049,0.596,100.75,-0.146,0.096,
815652,-0.031,0.04,-0.037,-0.002,-0.054,0.606,100.75,-0.145,0.097,
815652,-0.008,0.017,-0.037,-0.014,-0.029,0.616,100.75,-0.142,0.091,0.156
815652,-0.02,0.017,-0.025,-0.003,-0.031,0.626,100.75,-0.144,0.091,
815652,-0.031,0.005,-0.037,0.001,-0.04,0.636,100.75,-0.145,0.092,
815652,0.002,0.028,-0.014,-0.021,-0.012,0.646,100.75,-0.14,0.086,
815652,-0.031,0.005,-0.025,0,-0.036,0.668,102.48,-0.145,0.09,
815652,-0.031,0.017,-0.014,-0.002,-0.036,0.679,102.48,-0.144,0.089,
815652,-0.043,0.028,-0.025,-0.013,-0.051,0.689,102.48,-0.142,0.092,
815652,-0.043,0.028,-0.014,-0.01,-0.048,0.699,102.48,-0.142,0.09,
815652,-0.02,0.051,-0.014,-0.031,-0.029,0.709,102.48,-0.137,0.086,
815652,-0.031,0.051,-0.002,-0.025,-0.037,0.72,102.48,-0.139,0.087,
815652,-0.077,0.028,-0.037,-0.028,-0.081,0.73,102.48,-0.138,0.096,0.171
815652,-0.043,0.063,-0.037,-0.055,-0.046,0.74,102.48,-0.132,0.088,
815652,-0.031,0.051,0.008,-0.025,-0.031,0.75,102.48,-0.138,0.084,
815652,-0.066,0.017,-0.014,-0.022,-0.064,0.761,102.48,-0.138,0.091,
815652,-0.066,0.017,-0.002,-0.018,-0.064,0.767,100.36,-0.138,0.09,
815652,-0.066,0.051,-0.037,-0.062,-0.056,0.777,100.36,-0.129,0.088,
815652,-0.031,0.04,-0.002,-0.031,-0.024,0.787,100.36,-0.135,0.081,
815652,-0.054,0.04,-0.014,-0.046,-0.042,0.797,100.36,-0.132,0.084,
815652,-0.066,0.017,-0.002,-0.034,-0.057,0.807,100.36,-0.134,0.086,
815652,-0.043,0.04,-0.025,-0.052,-0.023,0.817,100.36,-0.13,0.079,
815652,-0.031,0.04,0.008,-0.031,-0.019,0.827,100.36,-0.134,0.085,0.185
815652,-0.031,-0.005,-0.025,-0.026,-0.02,0.837,100.36,-0.134,0.085,
815652,-0.043,-0.017,-0.014,-0.023,-0.036,0.847,100.36,-0.134,0.087,
815652,-0.054,-0.005,-0.025,-0.042,-0.036,0.854,98.34,-0.13,0.087,
815652,-0.031,-0.005,0.031,-0.004,-0.038,0.864,98.34,-0.138,0.087,
815652,-0.02,0.017,-0.002,-0.022,-0.006,0.874,98.34,-0.134,0.081,
815652,-0.031,-0.005,0.031,-0.009,-0.037,0.884,98.34,-0.136,0.086,
815652,-0.043,-0.005,-0.002,-0.032,-0.027,0.894,98.34,-0.132,0.084,
815652,-0.031,-0.017,0.02,-0.013,-0.035,0.904,98.34,-0.135,0.085,
815652,-0.043,-0.005,0.031,-0.025,-0.04,0.913,98.34,-0.133,0.086,
815652,-0.031,-0.005,0.02,-0.021,-0.027,0.923,98.34,-0.133,0.117,0.198
815652,-0.054,0.005,-0.037,-0.06,0,0.933,98.34,-0.125,0.112,
815652,-0.008,-0.005,0.008,-0.005,-0.01,0.943,98.34,-0.136,0.115,
815652,-0.008,-0.005,-0.002,-0.008,-0.003,0.965,100.24,-0.135,0.115,
815652,-0.008,-0.005,-0.002,-0.008,-0.002,0.975,100.24,-0.135,0.116,
815652,-0.008,-0.005,-0.014,-0.009,0.004,0.985,100.24,-0.135,0.115,
815652,-0.008,0.005,-0.014,-0.008,0.011,0.995,100.24,-0.135,0.115,
815652,0.014,0.017,0.02,0.014,-0.002,0.006,100.24,-0.139,0.119,
815652,-0.02,-0.017,-0.002,-0.02,-0.006,0.016,100.24,-0.132,0.12,
815652,0.014,0.005,0.008,0.013,-0.003,0.026,100.24,-0.139,0.121,
815652,,,,,,,,,,
815652,0.002,-0.017,0.031,-0.009,0.026,0.462,96.08,-0.134,0.145,
815652,-0.008,-0.017,-0.002,0.007,0.009,0.472,96.08,-0.138,0.149,
815652,-0.031,-0.028,-0.014,0.03,0.011,0.481,96.08,-0.142,0.15,
815652,-0.008,-0.005,-0.037,0.009,-0.017,0.491,96.08,-0.138,0.157,
815652,0.014,-0.04,0.008,-0.014,0.028,0.5,96.08,-0.134,0.148,
815652,-0.02,-0.028,-0.014,0.02,0.006,0.51,96.08,-0.141,0.153,
815652,-0.031,-0.04,0.008,0.034,0.024,0.52,96.08,-0.144,0.151,
815652,-0.008,-0.04,-0.014,0.011,0.013,0.529,96.08,-0.139,0.154,0.272
815652,0.002,0.005,0.02,0,0.008,0.539,96.08,-0.137,0.155,
815652,0.002,0.005,-0.037,-0.01,-0.022,0.548,95.32,-0.135,0.163,
815652,0.014,-0.028,0.02,-0.003,0.031,0.557,95.32,-0.136,0.153,
815652,0.014,0.017,-0.002,-0.017,-0.004,0.567,95.32,-0.133,0.161,
815652,0.014,-0.017,0.043,0.003,0.037,0.576,95.32,-0.138,0.153,
815652,0.002,-0.028,0.008,0.008,0.019,0.586,95.32,-0.139,0.158,
815652,0.014,-0.04,-0.014,-0.003,0.02,0.595,95.32,-0.136,0.159,
815652,0.014,0.005,-0.025,-0.022,-0.005,0.605,95.32,-0.132,0.165,
815652,0.014,-0.028,0.008,0.003,0.025,0.614,95.32,-0.138,0.159,
815652,0.025,-0.04,-0.014,-0.007,0.028,0.624,95.32,-0.135,0.159,0.296
815652,0.014,-0.028,0.031,0.016,0.033,0.633,95.32,-0.14,0.159,
815652,0.014,0.005,0.008,-0.007,0.012,0.643,95.32,-0.136,0.164,
815652,0.002,-0.028,0.008,0.016,0.014,0.653,95.32,-0.14,0.164,
815652,0.002,-0.017,-0.025,-0.005,0,0.662,95.32,-0.136,0.168,
